second, bytes
0, 0
1, 68
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 68
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 68
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 68
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 1518
41, 1980
42, 1980
43, 1650
44, 1980
45, 1650
46, 1650
47, 1650
48, 1980
49, 1650
50, 1650
51, 1650
52, 1320
53, 1650
54, 1650
55, 990
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 734
63, 1608
64, 1072
65, 1608
66, 1340
67, 1072
68, 1340
69, 1340
70, 1072
71, 1608
72, 1072
73, 1072
74, 1340
75, 1340
76, 804
77, 1072
78, 1072
79, 1340
80, 1340
81, 1340
82, 1340
83, 1340
84, 1340
85, 1340
86, 1340
87, 1072
88, 1608
89, 1340
90, 1072
91, 1340
92, 1340
93, 1340
94, 1340
95, 268
96, 0
97, 0
98, 0
99, 0
100, 0
101, 0
102, 0
103, 0
104, 2424
105, 2020
106, 2424
107, 1616
108, 2424
109, 1616
110, 2020
111, 2020
112, 1616
113, 2424
114, 1616
115, 2152
116, 1888
117, 1616
118, 1550
119, 2288
120, 1752
121, 2020
122, 2020
123, 2020
124, 1212
125, 0
126, 0
127, 1616
128, 2020
129, 1884
130, 1752
131, 1616
132, 1616
133, 4040
134, 0
135, 2020
136, 3636
137, 3636
138, 4444
139, 3232
140, 404
141, 0
142, 0
143, 0
