second, bytes
0, 0
1, 177
2, 66
3, 66
4, 111
5, 66
6, 66
7, 0
8, 177
9, 66
10, 111
11, 66
12, 66
13, 66
14, 177
15, 0
16, 0
17, 243
18, 0
19, 66
20, 177
21, 0
22, 66
23, 520
24, 132
25, 1238
26, 0
27, 177
28, 66
29, 0
30, 330
31, 1585
32, 1374
33, 66
34, 177
35, 0
36, 132
37, 111
38, 0
39, 132
40, 0
41, 177
42, 66
43, 66
44, 0
45, 177
46, 0
47, 66
48, 111
49, 66
50, 631
51, 177
52, 66
53, 0
54, 177
55, 66
56, 0
57, 111
58, 132
59, 111
60, 0
61, 132
62, 111
63, 66
64, 177
65, 0
66, 66
67, 66
68, 111
69, 66
70, 66
71, 111
72, 66
73, 177
74, 0
75, 66
76, 0
77, 177
78, 0
79, 132
80, 177
81, 66
82, 0
83, 507
84, 132
85, 1316
86, 309
87, 66
88, 66
89, 177
90, 264
91, 0
92, 111
93, 132
94, 0
95, 0
96, 177
97, 66
98, 0
99, 177
100, 0
101, 66
102, 177
103, 0
104, 177
105, 66
106, 66
107, 0
108, 111
109, 865
110, 177
111, 0
112, 132
113, 0
114, 177
115, 66
116, 0
117, 0
118, 177
119, 66
120, 66
121, 0
122, 177
123, 0
124, 66
125, 111
126, 132
127, 111
128, 0
129, 177
130, 66
131, 111
132, 434
133, 66
134, 111
135, 66
136, 66
137, 0
138, 243
139, 0
140, 0
141, 177
142, 66
143, 0
144, 132
145, 1295
146, 0
147, 243
148, 0
149, 66
150, 264
151, 177
152, 0
153, 66
154, 0
155, 375
156, 198
157, 441
158, 264
159, 177
160, 0
161, 0
162, 177
163, 66
164, 177
165, 0
166, 66
167, 177
168, 0
169, 66
170, 177
171, 0
172, 66
173, 177
174, 745
175, 132
176, 111
177, 66
178, 111
179, 66
180, 66
181, 177
182, 434
183, 66
184, 177
185, 66
186, 0
187, 66
188, 111
189, 66
190, 0
191, 177
192, 0
193, 66
194, 0
195, 309
196, 462
197, 330
198, 177
199, 66
200, 66
201, 111
202, 66
203, 66
